,regdate,trevenue,tcount,shipfee,lrevenue,lcount,lshipfee,NBR,NPBR,OBR,PBR,nrevenue,nshipfee,NBRp,NPBRp,OBRp,PBRp,regdate_week,regdate_month
63,2024-05-03,2434760,33,18000.0,479285.0,6.0,3000.0,0.2086517841116286,0.5432164079696933,0.0,0.24813180791867814,1955475.0,15000.0,404883.57077401254,1054097.8592549905,0.0,481493.569970997,2024-04-29,2024-05-01
62,2024-05-02,1533005,21,18000.0,476215.0,5.0,0.0,0.0,0.65487358170285,0.0,0.34512641829715,1056790.0,18000.0,0.0,680276.1279371036,0.0,358513.8720628965,2024-04-29,2024-05-01
61,2024-05-01,2918260,32,15000.0,750210.0,6.0,0.0,0.0017291315436821857,0.8035274283491116,0.03981325379328232,0.15493018631392383,2168050.0,15000.0,3722.90667012493,1730034.7296070547,85719.9260796265,333572.4376431937,2024-04-29,2024-05-01
60,2024-04-30,1557590,21,24000.0,243850.0,3.0,3000.0,0.0,0.6921268257926612,0.018453865336658354,0.28941930887068046,1313740.0,21000.0,0.0,894740.0327752047,23856.04987531172,374143.91734948347,2024-04-29,2024-04-01
59,2024-04-29,4908103,69,63000.0,304350.0,5.0,0.0,0.017429370515990434,0.33105670625430667,0.11217623930931053,0.5393376839203924,4603753.0,63000.0,79142.46645859511,1503246.7320943617,509364.59517246974,2448999.2062745737,2024-04-29,2024-04-01
58,2024-04-28,4483826,45,0.0,69000.0,1.0,0.0,0.020619013834693153,0.058087974459028024,0.33074671869457256,0.5905462930117062,4414826.0,0.0,91029.35837176304,256448.29992905285,1460189.213107485,2607159.128591699,2024-04-22,2024-04-01
57,2024-04-27,3076817,32,9000.0,138500.0,1.0,0.0,0.016922263352723427,0.04990745637228979,0.3610523532522475,0.5721179270227393,2938317.0,9000.0,49570.67371760973,146194.76037810682,1057636.7962718138,1675914.7696324696,2024-04-22,2024-04-01
56,2024-04-26,5655856,72,18000.0,199500.0,4.0,9000.0,0.02160399835193379,0.04173906812604124,0.10977554054780288,0.8268813929742221,5456356.0,9000.0,117684.67004639664,227367.5631907995,597986.4494563172,4504317.317306487,2024-04-22,2024-04-01
55,2024-04-25,10835311,101,12000.0,420106.0,3.0,0.0,0.0048595860006541754,0.03013877856174945,0.10604177374889023,0.8589598616887061,10415205.0,12000.0,50555.26937993552,313539.8918274847,1103174.3108733236,8935935.527919255,2024-04-22,2024-04-01
54,2024-04-24,3160500,31,9000.0,108600.0,1.0,0.0,0.0,0.0975331707780487,0.8390069349884417,0.06345989423350962,3051900.0,9000.0,0.0,296783.6853605244,2553014.202476329,193102.1121631464,2024-04-22,2024-04-01
